NZ_AP013028.1	153	1535	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	944148	945155	-	LD-carboxypeptidase	WP_041046127.1	894	f3f3f3	-1
NZ_AP013028.1	945155	945772	-	lipoyl(octanoyl) transferase LipB	WP_041046129.1	513	f3f3f3	-1
NZ_AP013028.1	946286	947470	+	phage portal protein	WP_041046131.1	1021	f3f3f3	-1
NZ_AP013028.1	947559	948025	+	ankyrin repeat domain-containing protein	WP_041046133.1	-1	f3f3f3	-1
NZ_AP013028.1	948026	948271	+	hypothetical protein	WP_041046135.1	-1	f3f3f3	-1
NZ_AP013028.1	948402	949550	+	DNA polymerase III subunit beta	WP_041046137.1	400	f3f3f3	-1
NZ_AP013028.1	949552	950289	-	tRNA pseudouridine(38-40) synthase TruA	WP_041046139.1	195	f3f3f3	-1
NZ_AP013028.1	951781	952377	+	riboflavin synthase	WP_041046143.1	567	f3f3f3	-1
NZ_AP013028.1	952434	953024	+	CvpA family protein	WP_041046145.1	775	f3f3f3	-1
NZ_AP013028.1	953034	953726	-	hypothetical protein	WP_052463273.1	-1	f3f3f3	-1
NZ_AP013028.1	954615	954827	-	hypothetical protein	WP_041046151.1	-1	f3f3f3	-1
NZ_AP013028.1	955110	955559	+	SsrA-binding protein SmpB	WP_041046155.1	297	f3f3f3	-1
NZ_AP013028.1	955566	956354	+	prolipoprotein diacylglyceryl transferase	WP_041046157.1	221	f3f3f3	-1
NZ_AP013028.1	957428	957799	+	ankyrin repeat domain-containing protein	WP_084221194.1	2	f3f3f3	-1
NZ_AP013028.1	957956	958201	+	hypothetical protein	WP_145971864.1	-1	f3f3f3	-1
NZ_AP013028.1	958625	958889	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_041046162.1	47	f3f3f3	-1
NZ_AP013028.1	958890	959090	-	hypothetical protein	WP_041046722.1	-1	f3f3f3	-1
NZ_AP013028.1	959365	960828	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	WP_041046163.1	600	f3f3f3	-1
NZ_AP013028.1	960845	961774	-	permease	WP_041046164.1	978	f3f3f3	-1
NZ_AP013028.1	962134	963399	-	beta-ketoacyl-ACP synthase II	WP_041046165.1	256	f3f3f3	-1
NZ_AP013028.1	963406	963672	-	acyl carrier protein	WP_041046166.1	380	f3f3f3	-1
NZ_AP013028.1	963824	964616	+	polyprenyl synthetase family protein	WP_041046167.1	544	f3f3f3	-1
NZ_AP013028.1	964617	965516	+	peptidylprolyl isomerase	WP_041046169.1	967	f3f3f3	-1
NZ_AP013028.1	965529	967025	-	cation:proton antiporter	WP_041046723.1	667	f3f3f3	-1
NZ_AP013028.1	967271	968179	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041046171.1	17	f3f3f3	-1
NZ_AP013028.1	968629	968856	-	hypothetical protein	WP_041046173.1	-1	f3f3f3	-1
NZ_AP013028.1	968861	969577	-	hypothetical protein	WP_041046175.1	-1	f3f3f3	-1
NZ_AP013028.1	973072	973572	-	NADH-quinone oxidoreductase subunit NuoE	WP_041046177.1	510	f3f3f3	-1
NZ_AP013028.1	974039	974542	-	hypothetical protein	WP_084221195.1	-1	f3f3f3	-1
NZ_AP013028.1	975657	975842	-	hypothetical protein	WP_041046180.1	-1	f3f3f3	-1
NZ_AP013028.1	976068	978041	+	hypothetical protein	WP_052463275.1	-1	f3f3f3	-1
NZ_AP013028.1	978535	979344	-	hypothetical protein	WP_052463277.1	-1	f3f3f3	-1
NZ_AP013028.1	980481	981764	+	amino acid permease	WP_041046181.1	59	f3f3f3	-1
NZ_AP013028.1	981846	983117	+	amino acid permease	WP_041046726.1	59	f3f3f3	-1
NZ_AP013028.1	983279	984799	+	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	WP_041046184.1	555	f3f3f3	-1
NZ_AP013028.1	986303	987232	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	WP_041046188.1	461	f3f3f3	-1
NZ_AP013028.1	987253	988806	+	penicillin-binding protein 2	WP_041046190.1	640	f3f3f3	-1
NZ_AP013028.1	988810	989157	-	hypothetical protein	WP_041046192.1	-1	f3f3f3	-1
NZ_AP013028.1	990316	990795	+	bacterioferritin	WP_041046194.1	933	f3f3f3	-1
NZ_AP013028.1	990797	991411	+	SURF1 family protein	WP_041046196.1	746	f3f3f3	-1
NZ_AP013028.1	991460	993178	-	potassium transporter	WP_041046198.1	70	f3f3f3	-1
NZ_AP013028.1	993184	993756	-	thioredoxin family protein	WP_041046200.1	1007	f3f3f3	-1
NZ_AP013028.1	993871	994473	+	dTMP kinase	WP_041046727.1	341	f3f3f3	-1
NZ_AP013028.1	996562	996744	+	hypothetical protein	WP_041046202.1	-1	f3f3f3	-1
NZ_AP013028.1	997935	999512	-	lysine--tRNA ligase	WP_041046204.1	702	f3f3f3	-1
NZ_AP013028.1	999578	999874	+	type IV secretion system protein VirB3	WP_041046206.1	710	f3f3f3	-1
NZ_AP013028.1	999884	1002281	+	VirB4 family type IV secretion/conjugal transfer ATPase	WP_041046208.1	766	f3f3f3	-1
NZ_AP013028.1	1002282	1004804	+	conjugal transfer protein TraH	WP_041046210.1	473	f3f3f3	-1
NZ_AP013028.1	1004873	1007262	+	type IV secretion system protein	WP_041046212.1	-1	f3f3f3	-1
NZ_AP013028.1	1007263	1010397	+	conjugal transfer protein TrbL	WP_041046214.1	554	f3f3f3	-1
NZ_AP013028.1	1010469	1013649	+	conjugal transfer protein	WP_041046216.1	985	f3f3f3	-1
NZ_AP013028.1	1013650	1014270	+	hypothetical protein	WP_041046218.1	-1	f3f3f3	-1
NZ_AP013028.1	1014994	1015776	+	type I methionyl aminopeptidase	WP_084221211.1	254	f3f3f3	-1
NZ_AP013028.1	1015980	1016435	-	hypothetical protein	WP_041046222.1	-1	f3f3f3	-1
NZ_AP013028.1	1016575	1017630	+	aspartate-semialdehyde dehydrogenase	WP_041046224.1	225	f3f3f3	-1
NZ_AP013028.1	1019693	1022611	-	glutamate synthase subunit beta	WP_041046226.1	752	f3f3f3	-1
NZ_AP013028.1	1022657	1023097	-	3-hydroxyacyl-ACP dehydratase FabZ	WP_041046228.1	234	f3f3f3	-1
NZ_AP013028.1	1023116	1023691	-	OmpH family outer membrane protein	WP_041046230.1	769	f3f3f3	-1
NZ_AP013028.1	1023692	1026031	-	outer membrane protein assembly factor BamA	WP_041046728.1	204	f3f3f3	-1
NZ_AP013028.1	1026039	1027157	-	RIP metalloprotease RseP	WP_041046729.1	332	f3f3f3	-1
NZ_AP013028.1	1027255	1027530	+	succinate dehydrogenase assembly factor 2	WP_041046232.1	729	f3f3f3	-1
NZ_AP013028.1	1028620	1029496	+	GTPase Era	WP_041046234.1	184	f3f3f3	-1
NZ_AP013028.1	1029497	1030315	+	3'-5' exonuclease	WP_041046236.1	968	f3f3f3	-1
NZ_AP013028.1	1032578	1033390	-	exodeoxyribonuclease III	WP_052463286.1	118	f3f3f3	-1
NZ_AP013028.1	1033390	1034097	-	uroporphyrinogen-III synthase	WP_041046238.1	1019	f3f3f3	-1
NZ_AP013028.1	1034273	1035454	+	cation:dicarboxylase symporter family transporter	WP_145971865.1	-1	f3f3f3	-1
NZ_AP013028.1	1036077	1036337	+	IS5 family transposase	WP_145971866.1	-1	f3f3f3	-1
NZ_AP013028.1	1036944	1037859	+	ribose-phosphate diphosphokinase	WP_041046242.1	587	f3f3f3	-1
NZ_AP013028.1	1037860	1038213	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	WP_041046244.1	680	f3f3f3	-1
NZ_AP013028.1	1038550	1039785	+	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB	WP_041046246.1	936	f3f3f3	-1
NZ_AP013028.1	1039805	1040596	+	P44/Msp2 family outer membrane protein	WP_041046731.1	435	f3f3f3	-1
NZ_AP013028.1	1040597	1042108	-	secretion system protein	WP_041046248.1	-1	f3f3f3	-1
NZ_AP013028.1	1042648	1042908	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1043508	1043768	+	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1044345	1044907	+	hypothetical protein	WP_041046250.1	-1	f3f3f3	-1
NZ_AP013028.1	1044908	1045840	-	4-hydroxy-tetrahydrodipicolinate synthase	WP_041046252.1	649	f3f3f3	-1
NZ_AP013028.1	1045850	1046332	-	single-stranded DNA-binding protein	WP_041046254.1	296	f3f3f3	-1
NZ_AP013028.1	1046480	1047295	-	hypothetical protein	WP_041046732.1	1011	f3f3f3	-1
NZ_AP013028.1	1049650	1050866	-	hypothetical protein	WP_041046256.1	990	f3f3f3	-1
NZ_AP013028.1	1050867	1051590	-	hypothetical protein	WP_041046258.1	1006	f3f3f3	-1
NZ_AP013028.1	1051591	1052820	-	lipoprotein-releasing ABC transporter permease subunit	WP_041046260.1	127	f3f3f3	-1
NZ_AP013028.1	1053499	1054929	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	WP_041046733.1	576	f3f3f3	-1
NZ_AP013028.1	1054978	1056393	-	transcription termination factor Rho	WP_041046262.1	112	f3f3f3	-1
NZ_AP013028.1	1056594	1057181	-	DUF1013 domain-containing protein	WP_041046264.1	679	f3f3f3	-1
NZ_AP013028.1	1057357	1057545	-	hypothetical protein	WP_041046266.1	-1	f3f3f3	-1
NZ_AP013028.1	1058037	1058774	+	hypothetical protein	WP_041046268.1	-1	f3f3f3	-1
NZ_AP013028.1	1058846	1059853	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	WP_041046270.1	218	f3f3f3	-1
NZ_AP013028.1	1060029	1061771	+	type I secretion system permease/ATPase	WP_041046272.1	678	f3f3f3	-1
NZ_AP013028.1	1061805	1063184	-	phosphomannomutase/phosphoglucomutase	WP_041046734.1	608	f3f3f3	-1
NZ_AP013028.1	1063287	1065170	+	hypothetical protein	WP_041046274.1	956	f3f3f3	-1
NZ_AP013028.1	1065691	1066917	+	bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	WP_041046276.1	488	f3f3f3	-1
NZ_AP013028.1	1067247	1067762	+	gamma carbonic anhydrase family protein	WP_041046278.1	467	f3f3f3	-1
NZ_AP013028.1	1067777	1068721	-	Rpn family recombination-promoting nuclease/putative transposase	WP_041046280.1	17	f3f3f3	-1
NZ_AP013028.1	1068809	1069543	-	hypothetical protein	WP_052463294.1	-1	f3f3f3	-1
NZ_AP013028.1	1069648	1070157	-	hypothetical protein	WP_041046282.1	-1	f3f3f3	-1
NZ_AP013028.1	1070302	1072782	+	valine--tRNA ligase	WP_041046284.1	368	f3f3f3	-1
NZ_AP013028.1	1072866	1073741	+	hypothetical protein	WP_145971867.1	-1	f3f3f3	-1
NZ_AP013028.1	1073877	1074557	+	orotidine-5'-phosphate decarboxylase	WP_041046286.1	451	f3f3f3	-1
NZ_AP013028.1	1074844	1075104	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	1075658	1077352	+	tetratricopeptide repeat protein	WP_052463297.1	1572	f3f3f3	-1
NZ_AP013028.1	1077428	1078600	-	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	WP_041046288.1	550	f3f3f3	-1
NZ_AP013028.1	1079838	1080656	+	kinase/pyrophosphorylase	WP_041046291.1	592	f3f3f3	-1
NZ_AP013028.1	1080726	1080854	+	50S ribosomal protein L36	WP_084221196.1	481	f3f3f3	-1
NZ_AP013028.1	1081056	1081370	+	septum formation initiator family protein	WP_041046738.1	1568	f3f3f3	-1
NZ_AP013028.1	1081431	1082081	+	dioxygenase	WP_041046739.1	778	f3f3f3	-1
NZ_AP013028.1	1082160	1083680	+	leucyl aminopeptidase	WP_052463345.1	268	f3f3f3	-1
NZ_AP013028.1	1084857	1085549	+	isoprenoid biosynthesis glyoxalase ElbB	WP_041046740.1	704	f3f3f3	-1
NZ_AP013028.1	1085562	1085873	+	hypothetical protein	WP_145971868.1	-1	f3f3f3	-1
NZ_AP013028.1	1085910	1086500	-	guanylate kinase	WP_041046741.1	303	f3f3f3	-1
NZ_AP013028.1	1086541	1088324	-	hypothetical protein	WP_041046295.1	462	f3f3f3	-1
NZ_AP013028.1	1088325	1089572	-	ankyrin repeat domain-containing protein	WP_041046297.1	691	f3f3f3	-1
NZ_AP013028.1	1089939	1090454	-	inorganic diphosphatase	WP_041046299.1	570	f3f3f3	-1
NZ_AP013028.1	1090551	1091067	-	demethoxyubiquinone hydroxylase family protein	WP_041046301.1	692	f3f3f3	-1
NZ_AP013028.1	1091068	1091544	-	disulfide bond formation protein B	WP_041046303.1	707	f3f3f3	-1
NZ_AP013028.1	1091596	1092996	-	ribosome biogenesis GTPase Der	WP_041046306.1	340	f3f3f3	-1
NZ_AP013028.1	1093366	1093692	+	hypothetical protein	WP_041046308.1	-1	f3f3f3	-1
NZ_AP013028.1	1094193	1094453	-	IS5 family transposase	WP_145971869.1	-1	f3f3f3	-1
NZ_AP013028.1	1094474	1094791	+	hypothetical protein	WP_145971870.1	-1	f3f3f3	-1
NZ_AP013028.1	1095181	1095825	+	hypothetical protein	WP_041046312.1	-1	f3f3f3	-1
NZ_AP013028.1	1096062	1097759	+	arginine--tRNA ligase	WP_041046314.1	239	f3f3f3	-1
NZ_AP013028.1	1097813	1098148	+	hypothetical protein	WP_041046742.1	2	f3f3f3	-1
NZ_AP013028.1	1098685	1098945	-	IS5 family transposase	WP_145971871.1	-1	f3f3f3	-1
NZ_AP013028.1	1099036	1099581	+	ankyrin repeat domain-containing protein	WP_084221197.1	2	f3f3f3	-1
NZ_AP013028.1	1099621	1100907	-	sodium:proton antiporter	WP_041046316.1	945	f3f3f3	-1
NZ_AP013028.1	1101100	1101756	+	ankyrin repeat domain-containing protein	WP_084221198.1	2	f3f3f3	-1
NZ_AP013028.1	1102569	1103300	-	site-specific DNA-methyltransferase	WP_084221181.1	921	f3f3f3	-1
NZ_AP013028.1	1104126	1105052	+	Rpn family recombination-promoting nuclease/putative transposase	WP_052463306.1	17	f3f3f3	-1
NZ_AP013028.1	1106521	1107497	-	Holliday junction branch migration DNA helicase RuvB	WP_041046322.1	174	f3f3f3	-1
NZ_AP013028.1	1107498	1108079	-	Holliday junction branch migration protein RuvA	WP_041046324.1	407	f3f3f3	-1
NZ_AP013028.1	1108207	1108881	-	septal ring lytic transglycosylase RlpA family protein	WP_041046326.1	1366	f3f3f3	-1
NZ_AP013028.1	1108908	1110446	+	UDP-N-acetylmuramate--L-alanine ligase	WP_041046328.1	619	f3f3f3	-1
NZ_AP013028.1	1110448	1111712	+	phosphopyruvate hydratase	WP_041046330.1	586	f3f3f3	-1
NZ_AP013028.1	1111713	1112735	+	GTPase ObgE	WP_041046332.1	262	f3f3f3	-1
NZ_AP013028.1	1113607	1113906	-	ETC complex I subunit	WP_041046334.1	1012	f3f3f3	-1
NZ_AP013028.1	1114059	1114703	+	prolyl oligopeptidase family serine peptidase	WP_041046747.1	458	f3f3f3	-1
NZ_AP013028.1	1114709	1115521	+	SDR family oxidoreductase	WP_041046336.1	1403	f3f3f3	-1
NZ_AP013028.1	1115627	1115698	+	hypothetical protein	WP_084221212.1	1589	f3f3f3	-1
NZ_AP013028.1	1115950	1116660	-	hypothetical protein	WP_041046338.1	1593	f3f3f3	-1
NZ_AP013028.1	1116805	1117671	+	tRNA pseudouridine(55) synthase TruB	WP_084221199.1	170	f3f3f3	-1
NZ_AP013028.1	1117684	1117956	+	30S ribosomal protein S15	WP_041046340.1	386	f3f3f3	-1
NZ_AP013028.1	1117971	1120238	+	polyribonucleotide nucleotidyltransferase	WP_041046342.1	252	f3f3f3	-1
NZ_AP013028.1	1120709	1121389	-	ribulose-phosphate 3-epimerase	WP_041046344.1	447	f3f3f3	-1
NZ_AP013028.1	1122149	1122643	-	RDD family protein	WP_041046346.1	984	f3f3f3	-1
NZ_AP013028.1	1122643	1123281	-	HAD-IA family hydrolase	WP_041046348.1	585	f3f3f3	-1
NZ_AP013028.1	1124914	1127373	-	endopeptidase La	WP_041046350.1	125	f3f3f3	-1
NZ_AP013028.1	1127395	1128669	-	ATP-dependent Clp protease ATP-binding subunit ClpX	WP_041046352.1	196	f3f3f3	-1
NZ_AP013028.1	1128669	1129295	-	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	WP_041046354.1	325	f3f3f3	-1
NZ_AP013028.1	1129307	1130650	-	trigger factor	WP_041046356.1	266	f3f3f3	-1
NZ_AP013028.1	1131061	1131657	+	BON domain-containing protein	WP_041046358.1	304	f3f3f3	-1
NZ_AP013028.1	1131706	1132622	+	glutathione synthase	WP_041046360.1	745	f3f3f3	-1
NZ_AP013028.1	1132623	1133654	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	WP_041046749.1	634	f3f3f3	-1
NZ_AP013028.1	1133747	1134127	+	hypothetical protein	WP_041046362.1	-1	f3f3f3	-1
NZ_AP013028.1	1134129	1135514	-	dihydrolipoyl dehydrogenase	WP_041046364.1	37	f3f3f3	-1
NZ_AP013028.1	1136173	1137825	+	30S ribosomal protein S1	WP_041046366.1	397	f3f3f3	-1
NZ_AP013028.1	1137848	1138126	+	integration host factor subunit beta	WP_041046368.1	673	f3f3f3	-1
NZ_AP013028.1	1138396	1138668	+	IS5 family transposase	WP_041046370.1	446	f3f3f3	-1
NZ_AP013028.1	1139546	1140049	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	1140276	1141307	-	Fe(3+) ABC transporter substrate-binding protein	WP_041046376.1	1020	f3f3f3	-1
NZ_AP013028.1	1143331	1144125	-	NAD kinase	WP_041046378.1	247	f3f3f3	-1
NZ_AP013028.1	1144150	1144362	-	50S ribosomal protein L31	WP_041046380.1	1018	f3f3f3	-1
NZ_AP013028.1	1144491	1145471	+	ACP S-malonyltransferase	WP_041046382.1	214	f3f3f3	-1
NZ_AP013028.1	1145536	1146297	+	hypothetical protein	WP_041046750.1	-1	f3f3f3	-1
NZ_AP013028.1	1146320	1147825	-	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	WP_041046384.1	483	f3f3f3	-1
NZ_AP013028.1	1149416	1150174	+	ankyrin repeat domain-containing protein	WP_041046388.1	2	f3f3f3	-1
NZ_AP013028.1	1150182	1150367	+	hypothetical protein	WP_145971872.1	-1	f3f3f3	-1
NZ_AP013028.1	1151189	1151848	+	CADD family putative folate metabolism protein	WP_041046392.1	1581	f3f3f3	-1
NZ_AP013028.1	1151941	1152354	+	dihydroneopterin aldolase	WP_041046394.1	1579	f3f3f3	-1
NZ_AP013028.1	1152354	1153648	+	dihydropteroate synthase	WP_041046396.1	385	f3f3f3	-1
NZ_AP013028.1	1153649	1154132	+	dihydrofolate reductase	WP_041046398.1	804	f3f3f3	-1
NZ_AP013028.1	1154133	1154876	+	putative folate metabolism gamma-glutamate ligase	WP_041046400.1	-1	f3f3f3	-1
NZ_AP013028.1	1156108	1156368	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	1157874	1159262	-	amidophosphoribosyltransferase	WP_041046402.1	545	f3f3f3	-1
NZ_AP013028.1	1161202	1161718	+	Na+/H+ antiporter subunit E	WP_041046405.1	715	f3f3f3	-1
NZ_AP013028.1	1161719	1162135	-	hypothetical protein	WP_041046406.1	1008	f3f3f3	-1
NZ_AP013028.1	1162411	1162965	+	phosphoribosylglycinamide formyltransferase	WP_041046407.1	162	f3f3f3	-1
NZ_AP013028.1	1162966	1164268	-	insulinase family protein	WP_041046408.1	721	f3f3f3	-1
NZ_AP013028.1	1164269	1165609	-	insulinase family protein	WP_041046409.1	677	f3f3f3	-1
NZ_AP013028.1	1165648	1166120	-	signal peptidase II	WP_041046411.1	292	f3f3f3	-1
NZ_AP013028.1	1166121	1167053	-	riboflavin biosynthesis protein RibF	WP_041046413.1	493	f3f3f3	-1
NZ_AP013028.1	1167121	1167489	+	glutaredoxin	WP_041046415.1	357	f3f3f3	-1
NZ_AP013028.1	1167606	1168478	+	hypothetical protein	WP_041046417.1	969	f3f3f3	-1
NZ_AP013028.1	1168527	1169036	-	DNA-3-methyladenine glycosylase	WP_041046752.1	1567	f3f3f3	-1
NZ_AP013028.1	1169724	1169984	-	IS5 family transposase	WP_145971873.1	-1	f3f3f3	-1
NZ_AP013028.1	1170696	1171154	-	ankyrin repeat domain-containing protein	WP_145971874.1	-1	f3f3f3	-1
NZ_AP013028.1	1171250	1173700	-	type I DNA topoisomerase	WP_041046419.1	312	f3f3f3	-1
NZ_AP013028.1	1173953	1175758	-	peptidylprolyl isomerase	WP_041046421.1	76	f3f3f3	-1
NZ_AP013028.1	1175874	1176833	-	tRNA dihydrouridine synthase DusB	WP_041046754.1	228	f3f3f3	-1
NZ_AP013028.1	1176841	1177773	-	hypothetical protein	WP_145971875.1	-1	f3f3f3	-1
NZ_AP013028.1	1178785	1178856	+	hypothetical protein	WP_145971887.1	-1	f3f3f3	-1
NZ_AP013028.1	1178989	1180266	+	serine--tRNA ligase	WP_041046755.1	230	f3f3f3	-1
NZ_AP013028.1	1180302	1181573	+	phosphoribosylamine--glycine ligase	WP_041046425.1	560	f3f3f3	-1
NZ_AP013028.1	1181637	1182203	+	hypothetical protein	WP_041046427.1	-1	f3f3f3	-1
NZ_AP013028.1	1182298	1183860	+	glutamine-hydrolyzing GMP synthase	WP_041046429.1	563	f3f3f3	-1
NZ_AP013028.1	1186189	1186794	-	recombination protein RecR	WP_041046430.1	161	f3f3f3	-1
NZ_AP013028.1	1186984	1187313	+	hypothetical protein	WP_041046431.1	-1	f3f3f3	-1
NZ_AP013028.1	1188228	1188689	+	hypothetical protein	WP_145971876.1	-1	f3f3f3	-1
NZ_AP013028.1	1188813	1189913	-	tryptophan--tRNA ligase	WP_084221200.1	194	f3f3f3	-1
NZ_AP013028.1	1190297	1190857	-	nucleotide exchange factor GrpE	WP_041046436.1	319	f3f3f3	-1
NZ_AP013028.1	1190919	1191905	-	polyprenyl synthetase family protein	WP_041046437.1	213	f3f3f3	-1
NZ_AP013028.1	1191916	1192248	-	30S ribosomal protein S16	WP_041046439.1	219	f3f3f3	-1
NZ_AP013028.1	1192833	1193200	-	holo-[acyl-carrier-protein] synthase	WP_041046441.1	271	f3f3f3	-1
NZ_AP013028.1	1193201	1194478	-	proline--tRNA ligase	WP_041046443.1	402	f3f3f3	-1
NZ_AP013028.1	1194573	1195973	-	hypothetical protein	WP_052463318.1	-1	f3f3f3	-1
NZ_AP013028.1	1196096	1197649	-	penicillin-binding protein	WP_041046445.1	651	f3f3f3	-1
NZ_AP013028.1	1198436	1199482	+	hypothetical protein	WP_145971877.1	-1	f3f3f3	-1
NZ_AP013028.1	1200130	1201206	-	rod shape-determining protein	WP_041046449.1	274	f3f3f3	-1
NZ_AP013028.1	1201227	1202654	-	carboxypeptidase	WP_041046451.1	736	f3f3f3	-1
NZ_AP013028.1	1202929	1203408	+	OmpA family protein	WP_041046760.1	343	f3f3f3	-1
NZ_AP013028.1	1203600	1204895	+	tRNA lysidine(34) synthetase TilS	WP_041046453.1	108	f3f3f3	-1
NZ_AP013028.1	1204908	1206737	+	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	WP_041046455.1	342	f3f3f3	-1
NZ_AP013028.1	1207848	1208609	-	hypothetical protein	WP_041046457.1	1553	f3f3f3	-1
NZ_AP013028.1	1208957	1209217	+	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	1211160	1213803	+	preprotein translocase subunit SecA	WP_041046459.1	215	f3f3f3	-1
NZ_AP013028.1	1213804	1214367	-	hypothetical protein	WP_145971878.1	-1	f3f3f3	-1
NZ_AP013028.1	1214950	1215789	-	hypothetical protein	WP_145971879.1	-1	f3f3f3	-1
NZ_AP013028.1	1215878	1216873	-	ribonucleotide-diphosphate reductase subunit beta	WP_041046461.1	107	f3f3f3	-1
NZ_AP013028.1	1217007	1217345	+	outer membrane protein assembly factor BamE	WP_041046463.1	538	f3f3f3	-1
NZ_AP013028.1	1217936	1219270	+	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	WP_041046465.1	328	f3f3f3	-1
NZ_AP013028.1	1219319	1222696	+	isoleucine--tRNA ligase	WP_041046762.1	322	f3f3f3	-1
NZ_AP013028.1	1222755	1223138	+	hypothetical protein	WP_041046467.1	-1	f3f3f3	-1
NZ_AP013028.1	1224500	1224727	+	hypothetical protein	WP_145971880.1	-1	f3f3f3	-1
NZ_AP013028.1	1224812	1226500	+	hypothetical protein	WP_052463322.1	-1	f3f3f3	-1
NZ_AP013028.1	1226504	1229155	-	alanine--tRNA ligase	WP_041046473.1	346	f3f3f3	-1
NZ_AP013028.1	1229348	1230397	+	hypothetical protein	WP_041046475.1	-1	f3f3f3	-1
NZ_AP013028.1	1231552	1234968	+	DNA polymerase III subunit alpha	WP_041046477.1	280	f3f3f3	-1
NZ_AP013028.1	1235017	1235790	+	30S ribosomal protein S6	WP_041046479.1	181	f3f3f3	-1
NZ_AP013028.1	1235790	1236065	+	30S ribosomal protein S18	WP_041046481.1	310	f3f3f3	-1
NZ_AP013028.1	1236073	1236558	+	50S ribosomal protein L9	WP_041046765.1	245	f3f3f3	-1
NZ_AP013028.1	1237160	1238698	+	hypothetical protein	WP_052463324.1	-1	f3f3f3	-1
NZ_AP013028.1	1238944	1239147	+	hypothetical protein	WP_041046483.1	-1	f3f3f3	-1
NZ_AP013028.1	1239184	1241040	+	hypothetical protein	WP_041046485.1	-1	f3f3f3	-1
NZ_AP013028.1	1241809	1242817	-	NADH-quinone oxidoreductase subunit NuoH	WP_041046489.1	561	f3f3f3	-1
NZ_AP013028.1	1242818	1244866	-	NADH-quinone oxidoreductase subunit G	WP_041046491.1	519	f3f3f3	-1
NZ_AP013028.1	1244880	1245089	-	hypothetical protein	WP_041046493.1	773	f3f3f3	-1
NZ_AP013028.1	1246122	1247429	+	adenylosuccinate synthase	WP_041046767.1	582	f3f3f3	-1
NZ_AP013028.1	1247962	1248246	+	hypothetical protein	WP_145971881.1	-1	f3f3f3	-1
NZ_AP013028.1	1248298	1248819	+	hypothetical protein	WP_052463328.1	956	f3f3f3	-1
NZ_AP013028.1	1249171	1249899	-	glutamine synthetase	WP_041046497.1	465	f3f3f3	-1
